"","X","CODE_N","COMMUNE","BVQ_N","POPSDC99","LOG","LOGVAC","STRATLOG","surf_m2","lat_centre","lon_centre"
"28",28,31029,"AURIN",31106,245,93,4,1,7587117,43.5358090238083,1.68212184272591
"29",29,31030,"AUSSEING",31523,61,32,5,1,5977107,43.1540018859864,1.03121617538153
"30",30,31031,"AUSSON",31390,541,253,12,2,4500391,43.0912876726229,0.589925650897807
"31",31,31032,"AUSSONNE",31232,4220,1593,45,4,13941938,43.683882011336,1.32860867631438
"32",32,31033,"AUTERIVE",31033,6531,2777,126,4,37324478,43.3593868270051,1.47765085674508
"33",33,31034,"AUZAS",31483,132,77,10,1,7848009,43.174924502395,0.894439813701077
"34",34,31035,"AUZEVILLE-TO",31113,2202,802,19,3,6687290,43.5287428345998,1.48734984328306
"35",35,31036,"AUZIELLE",31582,1558,494,6,3,4620003,43.5400048060555,1.56813391312533
"36",36,31037,"AVIGNONET-LA",31582,1069,449,27,3,40581905,43.3770225252218,1.77309769354135
"37",37,31039,"BACHAS",31028,75,42,2,1,2574861,43.2489766507621,0.940937713273393
"38",38,31040,"BACHOS",31144,38,34,6,1,2712305,42.8988241815562,0.60270414186354
"39",39,31042,"BAGNERES-DE-",31042,2900,4490,350,4,52782243,42.7348617007374,0.628106204315939
"40",40,31043,"BALESTA",31080,149,80,4,1,7087607,43.20205683026,0.563197702709666
"41",41,31045,"BARBAZAN",31483,378,245,20,2,6351762,43.0344932891035,0.622666587548746
"42",42,31046,"BAREN",31042,8,13,1,1,2937107,42.8670686227041,0.634573649892318
"43",43,31047,"BAX",31375,81,36,1,1,6033064,43.2249591075631,1.28854774916751
"44",44,31048,"BAZIEGE",31582,2196,819,44,3,19979913,43.4623170630237,1.62800392353096
"45",45,31049,"BAZUS",31358,532,197,3,2,9157438,43.7355990154574,1.52000526643756
"46",46,31050,"BEAUCHALOT",31483,390,177,17,2,6306383,43.1142348982851,0.869831655557414
"47",47,31051,"BEAUFORT",31454,247,89,0,1,8374711,43.4550116848029,1.10622911311447
"48",48,31052,"BEAUMONT-SUR",31033,1414,563,20,3,26431694,43.379693387901,1.35624710885565
"49",49,31053,"BEAUPUY",31561,1095,372,6,3,5890032,43.6525928361658,1.55908495464096
"50",50,31054,"BEAUTEVILLE",31582,104,54,2,1,4614539,43.3488882069772,1.73355364577609
"51",51,31055,"BEAUVILLE",31106,106,50,8,1,6152073,43.4679748832385,1.77073107320799
"52",52,31056,"BEAUZELLE",31232,5376,1878,33,4,4686136,43.6671186994764,1.37422293298811
"53",53,31057,"BELBERAUD",31113,1124,335,5,3,7497054,43.5035447940718,1.57051138024907
"54",54,31058,"BELBEZE-DE-L",31381,101,37,2,1,3687618,43.4378347442402,1.5562446434392
"55",55,31059,"BELBEZE-EN-C",31523,116,73,12,1,9475520,43.1340258058732,1.02999362374823
"56",56,31060,"BELESTA-EN-L",31451,84,49,4,1,5628331,43.4396832978517,1.83184449362985
"57",57,31061,"BELLEGARDE-S",31098,176,75,4,1,11725012,43.6761513319716,1.09952178471725
"58",58,31062,"BELLESSERRE",31232,50,17,1,1,3446412,43.7874526855125,1.10198588618274
"59",59,31063,"BENQUE",31028,154,72,5,1,11421888,43.2595784488198,0.917775157811783
"60",60,31064,"BENQUE-DESSO",31042,19,40,1,1,3629143,42.8209411139081,0.541832248416288
"61",61,31065,"BERAT",31454,1407,558,41,3,24448127,43.3778543630613,1.17171044658784
"62",62,31066,"BESSIERES",31358,2222,1025,100,4,16763355,43.7969758607385,1.58598900134769
"63",63,31067,"BEZINS-GARRA",31471,39,64,0,1,7822209,42.9386101851502,0.699582479458257
"64",64,31068,"BILLIERE",31042,25,25,2,1,2183733,42.8156256444013,0.529543509276387
"65",65,31070,"BLAJAN",31080,437,244,6,2,12790468,43.2543069703607,0.647432349533103
"66",66,31071,"BOIS-DE-LA-P",31107,313,110,5,2,7448958,43.3414855258251,1.16171209093137
"67",67,31072,"BOISSEDE",31239,71,41,1,1,3893931,43.4073743711813,0.826110303462338
"68",68,31073,"BONDIGOUX",31584,320,142,6,2,7495645,43.8428673410639,1.54312133593072
"69",69,31074,"BONREPOS-RIQ",31573,247,83,0,1,5666999,43.6769281882802,1.6231069232761
"70",70,31075,"BONREPOS-SUR",31499,579,220,9,2,10182330,43.5441611599777,1.13787829750382
"71",71,31076,"BORDES-DE-RI",31390,359,171,13,2,8460131,43.1237251283695,0.635454757264563
"72",72,31077,"LE BORN",31584,261,122,12,2,10943628,43.8953410695364,1.53868232179786
"73",73,31079,"BOULOC",31202,2925,1129,48,4,18858035,43.7956924976492,1.41842974275654
"74",74,31080,"BOULOGNE-SUR",31080,1433,703,49,3,24687338,43.2905218992722,0.650403944997831
"75",75,31081,"BOURG-D'OUEI",31042,10,30,0,1,9935101,42.8606544746637,0.486951508592016
"76",76,31082,"BOURG-SAINT-",31106,772,327,19,3,16587309,43.6056491109235,1.69866374943947
"77",77,31083,"BOUSSAN",31028,190,121,16,2,12630018,43.2420056383755,0.874940315172206
"78",78,31084,"BOUSSENS",31135,833,409,26,3,4383480,43.1767706316286,0.96037734064716
"79",79,31085,"BOUTX",31471,259,617,27,3,47412261,42.915313388066,0.770411737748677
"80",80,31086,"BOUZIN",31028,69,35,5,1,4313568,43.1912362658918,0.883536585061768
"81",81,31087,"BRAGAYRAC",31499,249,107,10,2,8312142,43.4892338472717,1.07042632038382
"82",82,31088,"BRAX",31232,2017,692,20,3,4469430,43.6151260526349,1.2328246794424
"83",83,31089,"BRETX",31232,354,132,10,2,8502974,43.7060013202041,1.19627633671202
"84",84,31090,"BRIGNEMONT",31098,317,150,10,2,22205573,43.7692367229838,0.998641788592494
"85",85,31091,"BRUGUIERES",31555,3862,1395,32,4,9090866,43.7268333883964,1.40918069022845
"86",86,31092,"BURGALAYS",31144,115,107,8,2,5211840,42.8839945487702,0.636472489813668
"87",87,31093,"LE BURGAUD",31232,484,212,23,2,24413971,43.7894769361149,1.14586548153923
"88",88,31094,"BUZET-SUR-TA",31358,1410,711,56,3,30273407,43.7685699141626,1.61328330981379
"89",89,31095,"CABANAC-CAZA",31483,108,65,4,1,3842168,43.0346269498292,0.739958412276335
"90",90,31096,"CABANAC-SEGU",31098,128,66,10,1,10265815,43.791416950485,1.01942765725785
"91",91,31097,"LE CABANIAL",31451,246,94,2,1,8548020,43.5216288217726,1.8692159895216
"92",92,31098,"CADOURS",31098,696,336,29,3,10852790,43.7264947014166,1.04653815617245
"93",93,31099,"CAIGNAC",31582,188,90,2,1,9176389,43.3196570555343,1.7081418361558
"94",94,31101,"CAMBERNARD",31499,340,137,4,2,8532737,43.4625960624675,1.17887658164559
"95",95,31102,"CAMBIAC",31106,170,79,8,1,7789283,43.4909774972177,1.78942109061896
"96",96,31104,"CAPENS",31107,285,128,10,2,6894412,43.3346328856911,1.26023782485466
"97",97,31105,"CARAGOUDES",31106,213,90,8,1,8356375,43.5007392465867,1.71397657689135
"98",98,31106,"CARAMAN",31106,1944,871,72,3,30570598,43.5290895805601,1.75307994329651
"99",99,31107,"CARBONNE",31107,3692,1751,147,4,26674194,43.3013538423628,1.21859951298662
"100",100,31108,"CARDEILHAC",31483,230,121,21,2,18455756,43.1958611981001,0.676301118620708
"101",101,31109,"CASSAGNABERE",31028,389,226,25,2,25418610,43.2310534240254,0.799461009574478
"102",102,31110,"CASSAGNE",31523,621,331,35,3,11307244,43.1246451238277,0.992228451322126
"103",103,31112,"CASTAGNEDE",31523,185,95,12,1,3407631,43.0511650985167,0.976571941073904
"104",104,31114,"CASTELBIAGUE",31523,209,109,5,2,6013269,43.0352984506356,0.927125753035707
"105",105,31115,"CASTELGAILLA",31239,67,36,4,1,6850084,43.3525808936621,0.902341692623036
"106",106,31116,"CASTELGINEST",31555,7735,2874,93,4,8182735,43.6974478242422,1.43521350788207
"107",107,31117,"CASTELMAUROU",31561,3261,1143,50,4,16885005,43.6849307615592,1.53744662609607
"108",108,31118,"CASTELNAU-D'",31232,2812,1137,74,4,28562045,43.7944519681183,1.36186858048191
"109",109,31119,"CASTELNAU-PI",31193,165,88,0,1,11408462,43.3085266672514,1.01458776266666
"110",110,31121,"CASTERA-VIGN",31080,54,27,3,1,4156770,43.2764894606476,0.782005708404555
"111",111,31122,"CASTIES-LABR",31193,97,41,0,1,8808302,43.3276946862841,0.993938126652751
"112",112,31123,"CASTILLON-DE",31042,83,84,7,1,28886973,42.7401036575909,0.557054202701501
"113",113,31124,"CASTILLON-DE",31483,259,125,11,2,10888444,43.1374100264573,0.849785017054677
"114",114,31125,"CATHERVIELLE",31042,30,51,4,1,3669808,42.8230611860911,0.508085602285782
"115",115,31126,"CAUBIAC",31098,193,92,4,1,7997658,43.7127876290905,1.07420345544677
"116",116,31127,"CAUBOUS",31042,12,16,0,1,3964224,42.847008374217,0.522489220561677
"117",117,31128,"CAUJAC",31033,437,201,10,2,11500233,43.2942423379231,1.45710340149992
"118",118,31129,"CAZARIL-LASP",31042,19,26,0,1,2368244,42.8024076763236,0.580824383803067
"119",119,31131,"CAZAUNOUS",31020,47,56,4,1,4711041,42.988473320572,0.724337896297613
"120",120,31132,"CAZAUX-LAYRI",31042,86,49,2,1,2614660,42.8717165887659,0.595988461927281
"121",121,31133,"CAZEAUX-DE-L",31042,81,90,6,1,21734026,42.7521875723976,0.531333765739755
"122",122,31134,"CAZENEUVE-MO",31028,54,33,2,1,4675558,43.1812391959686,0.861987452438514
"123",123,31135,"CAZERES",31135,3260,1761,214,4,19692799,43.2211012534493,1.09325058437535
"124",124,31136,"CEPET",31202,1315,399,13,3,7239734,43.7459858633023,1.43625778844228
"125",125,31137,"CESSALES",31582,130,53,5,1,3359662,43.4576510345515,1.74472963857336
"126",126,31138,"CHARLAS",31080,189,109,12,2,11411880,43.2349482942335,0.692127796493366
"127",127,31139,"CHAUM",31483,193,148,7,2,5578708,42.9404329157932,0.665057454472557
"128",128,31140,"CHEIN-DESSUS",31020,184,174,28,2,12743364,43.0049722185752,0.875218783334165
"129",129,31141,"CIADOUX",31080,186,87,9,1,9790270,43.254252076322,0.741806148292265
"130",130,31142,"CIER-DE-LUCH",31042,222,172,8,2,10431209,42.8557329984582,0.586989972076554
"131",131,31143,"CIER-DE-RIVI",31483,250,152,9,2,9567137,43.0583470768022,0.626931798066165
"132",132,31144,"CIERP-GAUD *",31144,862,643,43,3,14255023,42.9121908582841,0.634695974655739
"133",133,31145,"CINTEGABELLE",31033,2341,1079,86,4,53560469,43.3065784306953,1.53570185358519
"134",134,31146,"CIRES",31042,8,39,7,1,5190399,42.8526342012397,0.509818524158781
"135",135,31147,"CLARAC",31390,508,191,7,2,4736521,43.1140675862677,0.616570368385155
"136",136,31148,"CLERMONT-LE-",31033,464,185,7,2,10202731,43.4582768292691,1.44278236173573
"137",137,31150,"CORNEBARRIEU",31232,4694,1741,86,4,18777530,43.6488078837653,1.32243766479866
"138",138,31151,"CORRONSAC",31113,448,161,3,2,6365668,43.4714716887701,1.49034960339796
"139",139,31152,"COUEILLES",31239,100,51,4,1,6497064,43.347096491835,0.878789347980361
"140",140,31153,"COULADERE",31135,351,207,14,2,2345314,43.1966058742242,1.09334857020221
"141",141,31155,"COURET",31483,195,100,5,2,4341475,43.0493693287017,0.817342197926057
"142",142,31156,"COX",31098,267,156,11,2,4085050,43.7604019124751,1.04240044751801
"143",143,31158,"CUGURON",31390,176,80,3,1,6921872,43.1040765191511,0.516104823547451
"144",144,31159,"LE CUING",31483,351,156,11,2,13036541,43.1469454113128,0.611573962212043
"145",145,31160,"DAUX",31232,1253,528,43,3,16996921,43.6874656112803,1.26659113267214
"146",146,31161,"DEYME",31113,835,281,2,2,7069100,43.4822577494182,1.53252141689312
"147",147,31162,"DONNEVILLE",31381,781,276,6,2,2702032,43.4725255168964,1.55055330673745
"148",148,31163,"DREMIL-LAFAG",31044,2580,862,17,3,12529228,43.5913096108891,1.60278345492469
"149",149,31164,"DRUDAS",31098,172,93,14,1,11057224,43.761772242129,1.09718936884814
"150",150,31165,"EAUNES",31395,3389,1244,28,4,14905371,43.4274213320325,1.3587085287264
"151",151,31166,"EMPEAUX",31499,163,83,0,1,4597310,43.5371190254339,1.07937149725141
"152",152,31167,"ENCAUSSE-LES",31483,591,330,15,3,8166480,43.053161003419,0.746878922258727
"153",153,31168,"EOUX",31028,121,58,7,1,9318821,43.277578982353,0.882103546100058
"154",154,31169,"ESCALQUENS",31113,5477,1892,35,4,8485669,43.5207957613251,1.55275669942818
"155",155,31170,"ESCANECRABE",31080,240,117,8,2,15940947,43.271377353887,0.757557241657613
"156",156,31171,"ESPANES",31033,232,95,2,1,3598445,43.4505376212975,1.48777098456059
"157",157,31172,"ESPARRON",31028,36,29,5,1,5549666,43.2614750197187,0.811276589172821
"158",158,31173,"ESPERCE",31033,210,105,6,2,16237183,43.2993536337927,1.40027571121611
"159",159,31174,"ESTADENS",31020,425,274,1,2,17633550,43.0339337064105,0.844260264080928
"160",160,31175,"ESTANCARBON",31483,530,230,11,2,6272070,43.1087816993421,0.780991019850235
"161",161,31176,"ESTENOS",31483,167,132,6,2,3374825,42.9404866039528,0.635215052010781
"162",162,31177,"EUP",31471,146,120,9,2,2232264,42.9262001261198,0.685833405417293
"163",163,31178,"FABAS",31239,214,119,14,2,18651674,43.3119886081222,0.892862490940467
"164",164,31179,"LE FAGET",31106,279,148,20,2,11392198,43.5649401894498,1.82596583468777
"165",165,31180,"FALGA",31451,79,36,1,1,5415120,43.4801481119379,1.84707138996087
"166",166,31181,"LE FAUGA",31395,1099,448,31,3,9092401,43.3992013275951,1.29393451616027
"167",167,31182,"FENOUILLET",31555,4028,1569,70,4,9678904,43.6844061570514,1.39058923270985
"168",168,31183,"FIGAROL",31523,236,129,13,2,11835729,43.0857719796453,0.905286487833668
"169",169,31184,"FLOURENS",31044,1793,583,10,3,9701192,43.5976629667046,1.55373584190643
"170",170,31185,"FOLCARDE",31582,86,37,3,1,2319481,43.4052419326185,1.79623277233704
"171",171,31186,"FONBEAUZARD",31555,2603,968,53,3,1330731,43.6797481845631,1.43629132042491
"172",172,31187,"FONSORBES",31499,6909,2390,83,4,19387848,43.5317242115822,1.23910149262884
"173",173,31188,"FONTENILLES",31499,2920,1049,43,4,20224509,43.5552378891093,1.19706871597409
"174",174,31189,"FORGUES",31454,152,72,5,1,5274532,43.4313721977175,1.04340832618337
"175",175,31190,"FOS",31471,272,401,56,3,18323302,42.8605249831853,0.74749740538963
"176",176,31191,"FOUGARON",31523,73,107,6,2,9153585,42.9812851361435,0.936273926287587
"177",177,31192,"FOURQUEVAUX",31582,716,269,14,2,10185261,43.4984132806381,1.62142395254158
"178",178,31193,"LE FOUSSERET",31193,1434,681,46,3,38667230,43.2861907492657,1.06493571431664
"179",179,31194,"FRANCARVILLE",31106,154,65,8,1,7076262,43.5870123347612,1.7481583983514
"180",180,31196,"FRANCON",31135,168,75,3,1,9618680,43.2616682325287,0.987250222802698
"181",181,31197,"FRANQUEVIELL",31390,333,163,18,2,11000809,43.1310364282905,0.534463470050182
"182",182,31198,"LE FRECHET",31028,103,48,4,1,4188713,43.1900263633683,0.932483436201543
"183",183,31199,"FRONSAC",31483,216,167,10,2,4276511,42.953596331051,0.662092798537329
"184",184,31200,"FRONTIGNAN-D",31483,73,57,1,1,2593554,42.9634012216282,0.664065270086374
"185",185,31201,"FRONTIGNAN-S",31239,49,32,2,1,2845528,43.3990037835388,0.913399597951891
"186",186,31202,"FRONTON",31202,3891,1646,82,4,46051699,43.8520912283751,1.37922798765925
"187",187,31203,"FROUZINS",31395,5936,2091,55,4,7915986,43.5218531683142,1.31298153160492
"188",188,31204,"FUSTIGNAC",31193,54,26,1,1,4001626,43.3013467245649,0.983268196975157
"189",189,31205,"GAGNAC-SUR-G",31555,1635,614,16,3,4651978,43.7071761379879,1.36369634446579
"190",190,31206,"GAILLAC-TOUL",31033,910,368,26,3,40072834,43.2561211723165,1.45647170949216
"191",191,31208,"GANTIES",31483,244,157,16,2,12102467,43.0642440654123,0.837526921624638
"192",192,31209,"GARAC",31098,157,66,5,1,6096468,43.6894982579559,1.09153469039467
"193",193,31210,"GARDOUCH",31582,996,419,34,3,16260870,43.3851650652847,1.67819909457194
"194",194,31211,"GARGAS",31202,520,189,2,2,7314672,43.7589071198299,1.45987934897708
"195",195,31212,"GARIDECH",31358,954,353,9,3,7141710,43.7133733089796,1.55165714205143
"196",196,31213,"GARIN",31042,102,139,10,2,5713511,42.806914705412,0.496682447759584
"197",197,31215,"GAURE",31573,495,188,7,2,13544746,43.6172084129944,1.63703403007395
"198",198,31216,"GEMIL",31358,196,86,9,1,2828368,43.7388312756171,1.59517060630143
"199",199,31217,"GENOS",31483,75,59,7,1,3434936,42.9987465115108,0.668878887619048
"200",200,31218,"GENSAC-DE-BO",31080,141,66,8,1,10906834,43.2592870923721,0.603582357573116
"201",201,31219,"GENSAC-SUR-G",31135,264,142,11,2,10437487,43.2158752416298,1.1427558619598
"202",202,31221,"GOUAUX-DE-LA",31042,65,216,1,2,11113674,42.779948030036,0.476914583216518
"203",203,31222,"GOUAUX-DE-LU",31042,44,60,0,1,14402667,42.8502006812769,0.641374587638399
"204",204,31223,"GOUDEX",31239,43,19,1,1,2634934,43.3789665044243,0.95701483991985
"205",205,31224,"GOURDAN-POLI",31390,1194,672,65,3,5242045,43.0690562916119,0.575530310061177
"206",206,31225,"GOUTEVERNISS",31375,77,45,8,1,4788676,43.2143635037903,1.17357021695287
"207",207,31226,"GOUZENS",31375,61,41,4,1,5675865,43.1794804778734,1.18267414457951
"208",208,31227,"GOYRANS",31395,809,283,6,2,5762866,43.4815055348139,1.42666497918393
"209",209,31228,"GRAGNAGUE",31358,1437,482,4,3,13037674,43.6827530213634,1.58246187897069
"210",210,31229,"GRATENS",31193,445,213,13,2,15422413,43.3260788085891,1.12315294987374
"211",211,31230,"GRATENTOUR",31555,3035,1010,26,4,4078700,43.720100340789,1.43430643941765
"212",212,31231,"GRAZAC",31033,442,169,7,2,7308612,43.3109911013257,1.44819012202415
"213",213,31232,"GRENADE",31232,5767,2423,124,4,38068134,43.7637227213625,1.28024923988109
"214",214,31233,"GREPIAC",31033,791,318,16,3,8190107,43.4071786861672,1.45225997469868
"215",215,31234,"LE GRES",31098,223,111,8,2,8179434,43.7194364853245,1.09951410750208
"216",216,31235,"GURAN",31144,45,65,7,1,5651409,42.8856286606353,0.607140548701724
"217",217,31236,"HERRAN",31523,81,74,9,1,15505635,42.9717501399306,0.886237725894099
"218",218,31237,"HIS",31523,178,102,5,2,5155207,43.0651046106966,0.966777927181682
"219",219,31238,"HUOS",31390,450,223,26,2,3925504,43.069294404261,0.59942498125331
"220",220,31239,"L'ISLE-EN-DO",31239,1905,964,101,3,22538384,43.3813722163858,0.833813657660668
"221",221,31240,"ISSUS",31033,291,109,6,2,7210621,43.4230368034315,1.50268057274827
"222",222,31241,"IZAUT-DE-L'H",31483,306,157,9,2,9701355,43.012986068752,0.749524675929405
"223",223,31242,"JURVIELLE",31042,15,27,3,1,5662318,42.8292306262318,0.474416824567024
"224",224,31243,"JUZES",31582,84,34,2,1,3809144,43.4472084654446,1.79338294456198
"225",225,31244,"JUZET-DE-LUC",31042,379,233,13,2,6772936,42.8025992540355,0.629501775018834
"226",226,31245,"JUZET-D'IZAU",31020,193,153,6,2,14884960,42.9699738125175,0.75755741162066
"227",227,31246,"LABARTHE-INA",31483,781,327,13,3,10295769,43.1081766853198,0.832693859857721
"228",228,31247,"LABARTHE-RIV",31483,1152,597,52,3,14279256,43.0809653826848,0.671605487302305
"229",229,31248,"LABARTHE-SUR",31395,4632,1562,40,4,10328224,43.4586735198827,1.40073552706438
"230",230,31249,"LABASTIDE-BE",31582,664,249,9,2,10245353,43.4832370346632,1.66363421503046
"231",231,31250,"LABASTIDE-CL",31454,416,184,8,2,14626574,43.3488914680487,1.10589691524723
"232",232,31251,"LABASTIDE-PA",31239,127,57,2,1,7910955,43.3329687728059,0.935539042846326
"233",233,31252,"LABASTIDE-SA",31202,1329,490,13,3,5066306,43.7358657432411,1.46584497327913
"234",234,31253,"LABASTIDETTE",31395,1328,475,10,3,6340076,43.4570743860366,1.23723659577543
"235",235,31254,"LABEGE",31113,3152,1646,168,4,7721810,43.5387606856512,1.52163795726584
"236",236,31255,"LABROQUERE",31390,269,193,24,2,4352581,43.0419863049314,0.592149156354288
"237",237,31256,"LABRUYERE-DO",31033,143,57,4,1,2221724,43.4052417942656,1.47096159678027
"238",238,31258,"LACAUGNE",31107,168,70,1,1,6142932,43.2814493238852,1.28220526317507
"239",239,31259,"LACROIX-FALG",31395,1485,613,26,3,6074926,43.5006829840183,1.42411448833822
"240",240,31260,"LAFFITE-TOUP",31483,70,42,5,1,4888559,43.1656910152866,0.912985638672712
"241",241,31261,"LAFITTE-VIGO",31107,654,268,11,2,11412512,43.3034532146305,1.1620769972102
"242",242,31262,"LAGARDE",31582,239,120,16,2,12124228,43.3451442764484,1.69673253119507
"243",243,31263,"LAGARDELLE-S",31395,2181,781,19,3,13701474,43.4142474447787,1.39324979922032
"244",244,31264,"LAGRACE-DIEU",31033,269,111,11,2,8669699,43.3376600991779,1.4051133845711
"245",245,31265,"LAGRAULET-SA",31098,145,93,15,1,16127005,43.7887872861758,1.07378704085752
"246",246,31266,"LAHAGE",31454,262,54,3,1,7591471,43.440089022954,1.06661065048467
"247",247,31267,"LAHITERE",31375,38,36,2,1,3915030,43.141843725275,1.18548339615377
"248",248,31268,"LALOURET-LAF",31483,108,55,4,1,5454542,43.1868613836784,0.700553739046673
"249",249,31269,"LAMASQUERE",31395,873,309,9,3,6127193,43.4843781313073,1.24825776331813
"250",250,31270,"LANDORTHE",31483,779,316,8,3,9766042,43.1295602492906,0.777190769179198
"251",251,31271,"LANTA",31106,1175,515,32,3,30254276,43.5614139245558,1.66814126977052
"252",252,31272,"LAPEYRERE",31375,61,26,0,1,6317753,43.2048284652069,1.31103103698823
"253",253,31273,"LAPEYROUSE-F",31561,2056,725,22,3,9510978,43.7010799700766,1.51096122339414
"254",254,31274,"LARCAN",31483,156,80,5,1,7033274,43.1712162695443,0.722234622460187
"255",255,31275,"LAREOLE",31098,122,61,0,1,8934282,43.7416916910165,1.02351997944662
"256",256,31276,"LARROQUE",31483,335,159,9,2,20144910,43.1958176863571,0.613794676621946
"257",257,31278,"LATOUE",31483,284,134,11,2,17815297,43.1724835816034,0.781982698965262
"258",258,31279,"LATOUR",31375,103,37,3,1,6256902,43.202356239486,1.28182610461253
"259",259,31280,"LATRAPE",31107,297,173,31,2,19403052,43.2494030355894,1.29080472880755
"260",260,31281,"LAUNAC",31232,963,405,31,3,22728117,43.7502079430451,1.17075237800145
"261",261,31282,"LAUNAGUET",31561,5086,1855,74,4,7070264,43.6694230065097,1.45491295162355
"262",262,31283,"LAUTIGNAC",31454,218,105,5,2,17977975,43.3792223827677,1.06345055716119
"263",263,31284,"LAUZERVILLE",31582,873,276,2,2,3434025,43.5580679112819,1.56647884899923
"264",264,31285,"LAVALETTE",31573,602,227,13,2,13814011,43.6391431558523,1.59244088442566
"265",265,31286,"LAVELANET-DE",31135,483,231,27,2,13739051,43.2526766250807,1.1152947968415
"266",266,31287,"LAVERNOSE-LA",31395,1943,742,45,3,18061063,43.3911657107053,1.24644684361162
"267",267,31288,"LAYRAC-SUR-T",31584,264,123,8,2,7278451,43.8341171467911,1.56220746718176
"268",268,31290,"LEGE",31042,39,44,1,1,2895649,42.879139590281,0.598099563781911
"269",269,31291,"LEGUEVIN",31232,6172,2203,91,4,24583708,43.5919129578211,1.22954861721146
"270",270,31292,"LESCUNS",31135,42,27,2,1,3020240,43.2450295358718,1.00501046366841
"271",271,31293,"LESPINASSE",31555,1864,659,10,3,4287656,43.7162194628448,1.38246714231751
"272",272,31294,"LESPITEAU",31483,68,43,6,1,1826337,43.0662058637991,0.762138465495373
"273",273,31295,"LESPUGUE",31080,83,45,3,1,4888949,43.2300539146445,0.666376135843179
"274",274,31296,"LESTELLE-DE-",31483,378,194,9,2,9305782,43.1188667944862,0.902072593639214
"275",275,31298,"LEZ",31471,67,77,15,1,2598711,42.9083060789249,0.706189565256279
"276",276,31299,"LHERM",31395,2558,925,38,3,27575386,43.4293011712587,1.22314970891942
"277",277,31301,"LILHAC",31239,90,61,5,1,7365256,43.2851635874738,0.809258940759468
"278",278,31302,"LODES",31483,255,102,2,2,14026229,43.1660565436408,0.657691584064568
"279",279,31303,"LONGAGES",31107,1899,761,36,3,21524619,43.3573145702084,1.21465508739001
"280",280,31304,"LOUBENS-LAUR",31106,324,149,11,2,6473172,43.5739800494263,1.78370808443628
"281",281,31305,"LOUDET",31483,218,89,7,1,5185270,43.140048381407,0.576526264068771
"282",282,31306,"LOURDE",31483,88,104,1,2,1241201,42.9846753902112,0.657840042416171
"283",283,31307,"LUNAX",31080,56,29,2,1,4968812,43.3387064964694,0.694209721947404
"284",284,31308,"LUSCAN",31483,54,38,1,1,3267701,43.0134180225538,0.626832598192789
"285",285,31309,"LUSSAN-ADEIL",31193,191,99,2,1,12667398,43.2958726603785,0.951663075387047
